towns,population
SHUTESBURY,1717
ASHFIELD,1695
ERVING,1665
CLARKSBURG,1657
RUSSELL,1643
OTIS,1634
WESTHAMPTON,1622
WHATELY,1607
COLRAIN,1606
GILL,1551
GRANVILLE,1538
NEW MARLBOROUGH,1528
RICHMOND,1407
EGREMONT,1372
WEST STOCKBRIDGE,1343
PELHAM,1280
ROYALSTON,1250
CHESTER,1228
BLANDFORD,1215
CHILMARK,1212
PETERSHAM,1194
WORTHINGTON,1193
CHESTERFIELD,1186
CHARLEMONT,1185
MONTEREY,1095
NEW BRAINTREE,996
SANDISFIELD,989
NEW SALEM,983
GOSHEN,970
WENDELL,924
WINDSOR,831
CUMMINGTON,829
MONTGOMERY,819
PERU,814
WARWICK,780
HANCOCK,757
LEYDEN,734
HEATH,723
FLORIDA,694
SAVOY,645
PLAINFIELD,633
WASHINGTON,494
ALFORD,486
TOLLAND,471
AQUINNAH,439
TYRINGHAM,427
ROWE,424
MIDDLEFIELD,385
HAWLEY,353
NEW ASHFORD,250
MOUNT WASHINGTON,160
MONROE,118
GOSNOLD,70
